Nombre,Población,Superficie,Continente
Afganistán,39931000,652230,Asia
Albania,2348000,28748,Europa
Alemania,83588000,357580,Europa
Andorra,88000,468,Europa
Angola,36171000,1246000,África
Antigua y Barbuda,96000,443,América
Arabia Saudita,35952000,2149000,Asia
Argelia,47750000,2381741,África
Argentina,47620000,2780400,América
Armenia,3083000,29743,Asia
Australia,27514000,7741220,Oceanía
Austria,9201000,83871,Europa
Azerbaiyán,10318000,86600,Asia
Bahamas,409000,13880,América
Bangladesh,177567000,148460,Asia
Barbados,283000,430,América
Baréin,1609000,760,Asia
Bélgica,11842000,30528,Europa
Belice,450000,22970,América
Benín,14192000,112622,África
Bielorrusia,9083000,207600,Europa
Myanmar,51305000,676578,Asia
Bolivia,11522000,1098581,América
Bosnia y Herzegovina,3140000,51197,Europa
Botswana,2456000,581730,África
Brasil,213421000,8515767,América
Brunei,460000,5765,Asia
Bulgaria,6425000,110879,Europa
Burkina Faso,24092000,274200,África
Burundi,12623000,27830,África
Bután,785000,38394,Asia
Cabo Verde,588000,403,África
Camboya,17584000,181035,Asia
Camerún,29879000,475440,África
Canadá,41581000,9984670,América
Qatar,3110000,11571,Asia
Rep. Centroafricana,6567000,622984,África
Chad,19316000,1284000,África
Chequia (República Checa),10883000,78867,Europa
Chile,20208000,756102,América
China,1407934000,9596960,Asia
Chipre,981000,9251,Europa
Colombia,53473000,141748,América
Comoras,914000,1862,África
Congo,6569000,342000,África
Rep. Dem. del Congo,112832000,2344858,África
Corea del Norte,26075000,120538,Asia
Corea del Sur,51160000,100210,Asia
Costa de Marfil,33180000,322463,África
Costa Rica,5396000,51179,América
Croacia,3836000,56594,Europa
Cuba,10971000,109884,América
Dinamarca,6005000,42952,Europa
Dominica,66000,751,América
Rep. Dominicana,11092000,48670,América
Ecuador,18104000,256370,América
Egipto,108029000,1001450,África
El Salvador,6050000,21041,América
Emiratos Árabes Unidos,11336000,83600,Asia
Eritrea,3607000,117600,África
Eslovaquia,5414000,49035,Europa
Eslovenia,2132000,20273,Europa
España,49316000,505370,Europa
Estados Unidos,342181000,9833517,América
Estonia,1369000,45288,Europa
Etiopía,111705000,1104300,África
Filipinas,114124000,300000,Asia
Finlandia,5549000,338145,Europa
Fiyi,903000,18274,Oceanía
Francia,66409000,643801,Europa
Gabón,2469000,267667,África
Gambia,2492000,11295,África
Georgia,3705000,69700,Europa
Ghana,33512000,238533,África
Granada,110000,344,América
Grecia,10345000,131957,Europa
Guatemala,18086000,108889,América
Guinea,14364000,245857,África
Guinea-Bissau,1821000,36125,África
Guinea Ecuatorial,1938000,28051,África
Guyana,836000,214969,América
Haití,12009000,27750,América
Honduras,10039000,112777,América
Hungría,9526000,93208,Europa
India,1417492000,3287263,Asia
Indonesia,284447000,1904569,Asia
Irak,46874000,438317,Asia
Irán,87039000,1648195,Asia
Rep. de Irlanda,5485000,70273,Europa
Islandia,393000,103000,Europa
Israel,10104000,20770,Asia
Italia,58918000,301340,Europa
Jamaica,2775000,10991,América
Japón,123324000,377975,Asia
Jordania,11850000,89342,Asia
Kazajistán,20386000,2724900,Asia
Kenia,53331000,580367,África
Kirguistán,7367000,199951,Asia
Kiribati,129000,811,Oceanía
Kosovo,1587000,10887,Europa
Kuwait,4956000,17818,Asia
Laos,7792000,236800,Asia
Lesoto,2132000,30355,África
Letonia,1831000,64859,Europa
Líbano,5849000,10400,Asia
Liberia,5655000,111369,África
Libia,7459000,1759540,África
Liechtenstein,41000,160,Europa
Lituania,2908000,65300,Europa
Luxemburgo,688000,2586,Europa
Macedonia del Norte,1813000,25713,Europa
Madagascar,32149000,587041,África
Malasia,34233000,330803,Asia
Malawi,20741000,118484,África
Maldivas,562000,298,Asia
Mali,24745000,1240192,África
Malta,584000,316,Europa
Marruecos,37712000,446550,África
Islas Marshall,39000,181,Oceanía
Mauricio,1244000,2040,África
Mauritania,5163000,1030700,África
México,131013000,1964375,América
Est. Fed. de Micronesia,114000,702,Oceanía
Moldavia,2849000,33851,Europa
Mónaco,38000,2,Europa
Mongolia,3582000,1564116,Asia
Montenegro,623000,13812,Europa
Mozambique,34331000,799380,África
Namibia,3185000,824292,África
Nauru,12000,21,Oceanía
Nepal,29912000,147181,Asia
Nicaragua,6946000,130370,América
Níger,27303000,1267000,África
Nigeria,236213000,923768,África
Noruega,5607000,386224,Europa
Nueva Zelanda,5325000,267710,Oceanía
Omán,5308000,309500,Asia
Países Bajos,18081000,41865,Europa
Pakistán,256204000,881913,Asia
Palau,14000,459,Oceanía
Palestina,5745000,6020,Asia
Panamá,4208000,75517,América
Papúa Nueva Guinea,14293000,462840,Oceanía
Paraguay,6246000,406752,América
Perú,34350000,1285216,América
Polonia,37386000,312685,Europa
Portugal,10764000,92212,Europa
Puerto Rico,3189000,9100,América
Reino Unido,69611000,243610,Europa
Rwanda,14118000,26338,África
Rumania,19033000,238391,Europa
Rusia,146022000,17098246,Asia
Islas Salomón,763000,28896,Oceanía
Samoa,213000,2831,Oceanía
San Cristóbal y Nieves,47000,261,América
San Vicente y las Granadinas,111000,389,América
San Marino,34000,61,Europa
Santa Lucía,175000,616,América
Santo Tomé y Principe,211000,964,África
Senegal,19161000,196722,África
Serbia,6549000,88361,Europa
Seychelles,123000,455,África
Sierra Leona,9078000,71740,África
Singapur,6159000,728,Asia
Siria,23607000,185180,Asia
Somalia,19655000,637657,África
Sri Lanka,21824000,65610,Asia
Swazilandia,1250000,17364,África
Sudáfrica,63103000,1219090,África
Sudán,51662000,1861484,África
Sudán del Sur,15787000,644329,África
Suecia,10596000,450295,Europa
Suiza,9083000,41277,Europa
Surinam,640000,163820,América
Tailandia,66935000,513120,Asia
Taiwán,23337000,36197,Asia
Tanzania,68153000,947300,África
Tayikistán,10602000,143100,Asia
Timor Oriental,1389000,14874,Asia
Togo,8588000,56785,África
Tonga,100000,747,Oceanía
Trinidad y Tobago,1371000,5128,América
Túnez,12011000,163618,África
Turkmenistán,7355000,488100,Asia
Turquía,86021000,783562,Asia
Tuvalu,11000,26,Oceanía
Ucrania,38980000,603550,Europa
Uganda,47453000,241038,África
Uruguay,3515000,176215,América
Uzbekistán,37860000,447400,Asia
Vanuatu,335000,12189,Oceanía
Vaticano,1000,1,Europa
Venezuela,28517000,916445,América
Vietnam,102301000,332210,Asia
Yemen,34524000,527968,Asia
Yibuti,1086000,23200,África
Zambia,21668000,752618,África
Zimbabwe,15952000,390757,África
